Year,Country,Region,SubRegion,SurfAreaSqKm,PopTotal,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MobileSubs/100,MortRateU5,NetMigr,UrbanPopGrowth%
2002.0,Iceland,Europe,Northern Europe,103000.0,287523.0,2.86805985037406,0.892596377462957,9318398443.55146,0.559519082007625,18.554,7.49401211697476,35.5152001018962,1.93,91905493.0570106,30930.0,8892356945.88571,33.9168111859217,22.1813100994323,5.87213784679803,80.5024390243903,48.3344860952675,90.49333213,3.6,-346.0,1.032998440819
2002.0,Thailand,Asia,South-eastern Asia,513120.0,64222580.0,125.707255965081,0.895723403218221,134300903357.962,6.14903605210036,38.292,8.6921781801026,60.6457526009701,1.567,3341612007.23692,1980.0,127269578519.714,54.3239904200966,36.8944314471526,1.69045805604154,72.93,98.8474363766292,27.17095763,19.9,134387.0,4.4747528371425
2002.0,Jamaica,Americas,Latin America and the Caribbean,10990.0,2638244.0,243.605170821791,0.487837447460561,9719009561.76107,1.99729094407155,70.518,5.5443040664747,32.7619513128115,2.149,443800000.0,3320.0,8772091636.48926,49.0848041142906,21.3229059302313,9.08384842898865,70.888,47.8135140259906,47.18957003,20.0,-18427.0,0.867511344659901
2002.0,Italy,Europe,Southern Europe,302069.0,57059007.0,192.950740232248,0.148916429490753,1276769338449.3,0.253942998968455,6.953,2.37138225861722,24.4074673383008,1.27,17239360004.8835,20770.0,1185034073238.0,23.6504569605133,24.0295101924527,3.27434188043023,80.2292682926829,39.2742827462498,94.9085968,5.1,222527.0,0.297433898475445
2002.0,West Bank and Gaza,Asia,Western Asia,6020.0,3075373.0,510.859302325581,2.55528456623402,3555800000.0,-12.4891917608064,81.535,8.0319478035885,13.437201192418,5.186,9440000.0,1190.0,3665299323.06164,62.8156814219022,20.0686202823556,1.48786178815843,70.969,30.79914114010725,7.443484991,28.6,-35034.0,2.85959756593569
2002.0,Togo,Africa,Sub-Saharan Africa,56790.0,5281538.0,97.1049457620886,2.61091784886825,2319268823.40971,3.82662257962257,95.441,29.1407813602885,22.2770426033004,5.194,57806307.3736271,400.0,2127222985.36955,31.3514613474985,20.1654089093673,5.02785556132727,55.311,43.8931438100121,3.126702866,113.0,-5972.0,3.95986221278719
2002.0,Hungary,Europe,Eastern Europe,93030.0,10158608.0,113.352019638474,-0.28475137719698,67608919144.3684,4.7412865464827,21.809,4.26079504256631,58.1369735753857,1.3,3643428379.51995,5290.0,53752940330.5354,60.1831355869059,26.8070253407464,8.09150583095244,72.3487804878049,106.897138594502,67.85414098,9.0,2412.0,0.348782883752427
2002.0,United Kingdom,Europe,Northern Europe,243610.0,59370479.0,245.40354234696,0.423337079636281,1785781372553.92,1.77076529877269,26.677,0.892477224374011,24.4434186728661,1.63,89760582753.2235,29140.0,1730318750027.69,26.8645380041376,21.2343109402735,2.22296922041048,78.1439024390244,35.9362019261192,82.93728874,6.3,210510.0,0.798501015283694
2002.0,Central African Republic,Africa,Sub-Saharan Africa,622980.0,3930648.0,6.30942887412116,2.20897342817341,996068145.608021,3.61654219150596,148.045,0.5126381431846686,15.96270493648,5.836,5644286.5,250.0,964457747.282126,20.1458598429982,15.732476760131824,-2.37188170574854,45.409,26.8053949097045,0.320557832,160.7,5996.0,2.42618449553929
2002.0,"Congo, Rep.",Africa,Sub-Saharan Africa,342000.0,3331158.0,9.75448901903368,2.34039442531377,3034250926.18009,4.58187006108889,118.806,6.26158012257114,81.5164254833959,4.719,200095651.485644,670.0,2231131458.19854,53.9396455888641,63.3189225141337,-1.7389275602747,55.088,97.3881222051777,6.658345236,105.8,-16141.0,3.11664497091615
2002.0,Colombia,Americas,Latin America and the Caribbean,1141750.0,40454050.0,36.4615141955836,1.53486691614177,97945812789.8533,2.50398046550686,91.952,8.51000517684848,14.8155696775272,2.458,2133698124.14946,2400.0,97018118698.1514,18.1670695368963,27.5290127709183,5.96819057296526,71.939,25.1383895836645,11.36250635,23.6,-24379.0,2.09528113345893
2002.0,Chad,Africa,Sub-Saharan Africa,1284000.0,8838369.0,7.01903510165184,3.44814062098756,1997005710.26555,8.49120981898056,200.195,37.9029324681757,12.6899405964434,7.201,924119210.0868,200.0,1759223606.10115,113.660867253469,14.2598695954881,1.90781944012426,47.946,91.6872691243593,0.386949265,177.7,20396.0,3.59570024738027
2002.0,"Iran, Islamic Rep.",Asia,Southern Asia,1745150.0,67327117.0,41.336425869987,0.973524734407785,128626917503.72,8.07882927975207,33.655,7.82554689747938,24.4139021536457,1.865,3519380360.0,1890.0,127544727264.11,23.75878439842,45.5029348793712,28.2796940877297,70.445,37.9811636227598,3.385178367,32.0,-568950.0,2.06394771243319
2002.0,Iraq,Asia,Western Asia,438320.0,26255343.0,60.0300500720214,3.2110492891941,32928454672.4246,-8.19846982824988,61.12,8.5626717122094,70.5700515170938,4.706,-326000.0,1340.0,35312796057.1614,49.1919964736597,74.1578564186036,8.16170061218413,67.084,66.9208446591747,0.076174971,42.7,133839.0,3.28979552871636
2002.0,Cayman Islands,Americas,Latin America and the Caribbean,264.0,42456.0,176.9,3.35799722306069,4832410159.93281,3.385249913061947,45.227,12.136503960370996,50.75112492783284,1.8703526119948848,2802974999.9,53096.00034570373,2569527203.011274,54.47387323747973,25.46816079626077,1.2388041779722838,81.48275110050703,88.12411842597976,44.75221406,5.690926109039789,1075.0,3.35799722306069
2002.0,Ireland,Europe,Northern Europe,70280.0,3931947.0,57.075729423719,1.68514885730282,128596035288.401,5.89936576117442,19.449,1.7353084894094,90.449477107344,1.97,29323796527.2223,24920.0,97985442582.0432,73.269877252658,35.105250232772,5.18690302433589,77.6341463414634,109.384398737126,77.03649835,6.5,34478.0,2.1051313624531
2002.0,Timor-Leste,Asia,South-eastern Asia,14870.0,909639.0,61.1727639542703,1.84601168099225,469506700.0,-6.70068951593717,60.781,24.6725765574804,7.80359470908509,6.022,3979228028.329816,770.0,696455909.354872,172.569571424646,11.9204049697267,5.40018540799232,60.148,56.44672445524582,89.79681204893873,101.1,-9937.0,3.2977911637264
2002.0,Zambia,Africa,Sub-Saharan Africa,752610.0,10508294.0,14.1356407807477,3.05652834733399,4193850445.42632,4.50601428032604,149.341,15.361429938368,27.1336783308698,5.792,298390000.0,380.0,3945626732.47721,37.782818668195,23.8755524352252,19.390923266941,46.979,49.071850004675,1.323640165,136.5,3209.0,4.39882913425441
2002.0,China,Asia,Eastern Asia,9562913.2,1280400000.0,136.383779609948,0.669999567758626,1470557565965.51,9.13363078993316,12.814,13.3014877126424,22.6447456738957,1.566,53073618897.4036,1110.0,1423137135562.69,20.1026579601554,44.4505675337902,0.602099078003945,72.985,42.2129683575106,16.08250443,31.5,-477885.0,4.19800114764631
2002.0,United States,Americas,Northern America,9632030.0,287625193.0,31.3935499327652,0.927797485710314,10929112955000.0,1.69594292274957,41.761,0.973711859673977,9.131381513844,2.0205,111055000000.0,37310.0,10730150938636.1,13.1549925956457,20.65246551384,1.55853138907887,76.9365853658537,17.3237572691918,49.17630521,8.2,1168499.0,1.14841884658312
2002.0,Indonesia,Asia,South-eastern Asia,1910930.0,220115092.0,117.23721144766,1.37351928060869,195660611165.183,4.49947539085764,52.425,16.3196689664379,32.6876208878375,2.456,145085548.722222,780.0,172499137484.362,26.3918408785348,47.7453311592597,5.89605169318483,67.134,49.8342509610593,5.31540109,47.6,-83985.0,3.19172975254904
2002.0,Andorra,Europe,Southern Europe,470.0,70849.0,150.742553191489,4.36937150135481,1755989899.29591,4.54636221364653,10.397,0.385887245890569,78.3456391799006,2.3250277991115302,5400940186.027978,2250.027267561505,1732445565.655796,70.13589247587994,15.0672890885022,3.23953176987777,73.30958552300329,74.21607437703436,46.28218157,6.9,2690.0,3.91855974083943
2002.0,Bosnia and Herzegovina,Europe,Southern Europe,51210.0,4198410.0,82.0001953125,0.0828752170247773,6728219506.73943,5.02744420733983,18.914,8.87350362815024,19.1260121626731,1.23,267769568.956599,1570.0,6574028265.21227,59.6014673260219,19.8153865976587,5.00786637251515,74.612,72.4857444843301,17.834847,9.3,-13313.0,0.820230916996715
2002.0,Comoros,Africa,Sub-Saharan Africa,1861.0,559047.0,300.401397098334,2.04310008455716,425964681.148945,2.3249448613998,91.3,29.3760124174837,8.83617675060801,5.206,430423.4793,690.0,386786786.484716,26.9209423209685,12.2063143265816,4.17065591684414,59.056,16.90280983057,0.0,92.1,-2502.0,1.88553995588983
2002.0,Botswana,Africa,Sub-Saharan Africa,581730.0,1795130.0,3.16752245337286,1.86676435735896,5438864269.39361,6.06953087648317,63.077,2.4256159925616,52.1574267782427,3.181,407997392.45524,2780.0,4991385566.39408,39.6783472803347,43.9650990818224,1.18737069613121,50.632,78.5090377053309,18.50918875,72.2,4964.0,2.80195149929971
2002.0,Chile,Americas,Latin America and the Caribbean,756096.0,15693790.0,21.1070807981365,1.08792963607244,70295232513.0515,3.20279913520113,56.22,4.06503324753284,32.2572203545438,1.935,2549923142.41108,4570.0,71720503428.2919,30.2266315470858,28.5180345922146,3.34066037242444,77.445,50.1755222069311,39.78841312,9.8,7828.0,1.3689076320046
2002.0,India,Asia,Southern Asia,3287260.0,1098313039.0,369.405601054759,1.77676787418134,514937948870.08,3.8039753213758,93.536,19.5345432711113,14.2643839244292,3.217,5208967106.27894,460.0,500197978419.465,15.244279010869,27.6606541610101,3.71568377652814,63.616,20.539756339979,1.183633404,84.5,-208070.0,2.93770825491266
2002.0,Afghanistan,Asia,Southern Asia,652860.0,21000256.0,32.1976235377091,6.44932147797304,3854235264.37171,0.5651652086994058,148.141,38.6278918638443,45.71180665897916,7.339,50000000.0,1740.33798608788,3601346173.369456,64.26885942500157,23.8101270064854,215.5397670991263,56.454,66.2128755758767,0.119046168,121.2,1327074.0,6.86345297807244
2002.0,Israel,Asia,Western Asia,22070.0,6570000.0,303.604436229205,2.01405839404727,125059962957.686,-0.114220927907823,16.348,1.81954745476734,31.8518325779877,2.89,1582500000.0,19130.0,125692300902.55,34.6737153111774,21.430998539458,4.75981737527135,79.4512195121951,51.8663195366103,99.10827833,6.4,20672.0,2.08306502848675
2002.0,"Congo, Dem. Rep.",Africa,Sub-Saharan Africa,2344860.0,51662071.0,22.7882362541629,3.05700023925831,8728038525.14034,2.94776518359767,124.499,26.5837793204992,15.6713428067886,6.672,187598693.6,190.0,9656903117.3151,13.6455028361936,32.6183368838049,31.7194612289405,52.333,25.3550668185716,1.083967385,151.2,-17355.0,4.36351677809616
2002.0,"Yemen, Rep.",Asia,Western Asia,527970.0,19660653.0,37.2382010341497,2.66583425909229,10694628091.6726,3.9352315052778,102.853,13.3403856039223,45.25925652046682,5.937,114302000.0,490.0,9537641863.48829,63.46825723437429,42.0819113672132,8.64271642584451,63.906,58.5060083096487,2.475334873,85.9,-99706.0,4.61775470894098
2002.0,Guinea,Africa,Sub-Saharan Africa,245860.0,8577790.0,34.9087986325899,1.55168555991374,2950198723.60858,5.16460946559741,152.832,21.6316147118148,26.4778105826218,5.793,30000000.0,350.0,2989514559.31883,28.9704244905935,31.3216259976951,0.432772377529162,53.278,46.6409258803055,1.05822129,152.9,-33495.0,2.43400588158008
2002.0,"Hong Kong SAR, China",Asia,Eastern Asia,1100.0,6744100.0,6422.95238095238,0.44284682728195,166348873240.942,1.65669516668655,4.276,0.0881032820206869,132.076763164041,0.941,6747855220.81764,25270.0,170420445149.016,123.919694205301,10.6365250153969,-3.40188377176429,81.4268292682927,246.408041133107,93.38396667,23.221834777977147,21654.0,0.44284682728195
2002.0,Germany,Europe,Western Europe,357040.0,82488495.0,236.451570830706,0.168128319406931,2078484517474.51,-0.197973834771361,12.894,0.900496788164431,32.5925791130602,1.34,51268214890.6254,23680.0,1953066782998.29,28.3423107018725,26.3787236365621,1.37812582409744,78.2292682926829,53.2173317001176,72.60008929,5.1,45985.0,0.439144630807111
2002.0,Dominican Republic,Americas,Latin America and the Caribbean,48670.0,8795101.0,182.055495756572,1.4436803902991,27137441266.3355,4.49510340292099,110.884,6.80511921829037,30.724010155589,2.774,926000000.0,2870.0,25201779228.9877,37.9992727472887,31.088108747831,6.92066884933828,69.923,51.6002959253604,19.33586664,38.2,-30477.0,2.7237026688676
2002.0,Georgia,Asia,Western Asia,69700.0,3978515.0,69.6055670247384,-0.89725367267161,3395766677.67315,5.47383680119593,39.468,19.2408798283262,29.229275751073,1.563,160398660.46,840.0,3361553534.67817,42.3998497854077,22.7373927038627,5.91926354995155,70.024,33.6301079667382,12.40096348,31.7,-58530.0,-0.815217755242416
2002.0,Albania,Europe,Southern Europe,28750.0,3051010.0,111.350729927007,-0.299876697084691,4348068242.19512,4.53652416035675,13.217,22.0251140879353,20.9456161731319,2.036,135000000.0,1370.0,4175916869.92456,47.5794520503068,23.10636959577,3.6474762708812,75.89,42.4096379653199,27.24463279,24.4,-59876.0,2.18120890441126
2002.0,"Gambia, The",Africa,Sub-Saharan Africa,11300.0,1522223.0,150.417292490119,2.85020452877525,578235309.327198,-3.25000014970206,109.466,24.1249321438198,27.1573845831505,5.728,42826999.9,410.0,624788604.907336,32.4855663356834,15.8069767662158,10.3913445898093,57.08,30.7833155687277,6.569339709,104.5,-4068.0,4.69472569610685
