Year,Country,Region,SubRegion,SurfAreaSqKm,PopTotal,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MobileSubs/100,MortRateU5,NetMigr,UrbanPopGrowth%
2019.0,Cayman Islands,Americas,Latin America and the Caribbean,264.0,66134.0,275.558333333333,1.90819265891466,5941896599.57333,3.91563637725301,11.666,0.414317120759666,69.4710256634634,3.3323040367558336,1080420248.60699,65690.0,4344154114.36096,45.3675141865764,7.70795298167285,3.39630978234517,64.08657101785981,24.8742127236972,149.6960716,27.875754728822727,973.0,1.90819265891466
2019.0,"Macao SAR, China",Asia,Eastern Asia,32.9,663653.0,20171.8237082067,1.92636052888412,55204960999.5882,-2.51193784642786,2.677,0.5126029494126257,82.522613516486,1.077,6509553755.0042,73010.0,48450764920.1202,31.8696832985433,4.22777366282854,2.40358745076952,84.978,23.1011846926133,420.8530977,38.26329202027681,8578.0,1.92636052888412
2019.0,Tanzania,Africa,Sub-Saharan Africa,947300.0,59872579.0,67.5915319485211,3.02174626028,61026765850.3054,5.79999999996723,126.38,26.5943119516018,16.0367461484986,4.864,1217235252.41974,1040.0,60295523214.754,16.9818431017325,28.6718333565052,2.2804089300173,66.989,23.6896053699815,79.64452642,50.4,-64819.0,5.14263088058471
2019.0,Belarus,Europe,Eastern Europe,207600.0,9419758.0,46.4107506220284,-0.201786600970723,64410112583.362,1.44620667102681,11.83,6.79497075676157,65.0944096428465,1.382,1273300000.0,6370.0,60029805004.9023,65.7557224712763,31.7370780512425,8.57690850921516,74.2268292682927,112.454391235935,120.1910673,3.1,15082.0,0.36787841302964
2019.0,Curacao,Americas,Latin America and the Caribbean,444.0,157441.0,354.596846846847,-1.19643951751799,2995185474.86034,-3.37179918105626,23.148,0.168766187524038,61.50303394576388,1.6,203230453.620112,19700.0,3101380424.35944,89.65211391218806,16.7811993250994,2.62589856407942,76.13615499566538,62.0662732108997,95.40617378,28.07772254771656,-9592.0,-1.24896688314182
2019.0,Djibouti,Africa,Sub-Saharan Africa,23200.0,1073994.0,46.3327868852459,1.57623975223144,3088853638.56832,5.5451305999467,22.716,1.51935122196429,166.717746372109,2.891,174999015.310515,2820.0,3031712133.20906,154.221256626515,14.610289493982,0.449797430981619,63.085,263.333940411955,38.53522459,57.9,1322.0,1.753448510633
2019.0,Central African Republic,Africa,Sub-Saharan Africa,622980.0,5209324.0,8.36194420366625,2.22336107125156,2221301350.75537,3.09999999999999,162.614,28.3418324649438,15.7553800018083,6.008,25601157.287,470.0,2450838201.07641,34.3104199996784,20.5119712162628,2.32783705140642,55.025,34.2591967425409,30.6238199,105.9,-36942.0,3.20011244517151
2019.0,Thailand,Asia,South-eastern Asia,513120.0,71307763.0,139.57557008358,0.252691237274251,543976695638.812,2.11455779628278,33.628,8.1285680400948,59.5188906218859,1.352,5518708214.48255,7080.0,504708601498.89,50.1706240932801,33.5939105133265,1.01442340642497,78.975,88.7039838045541,181.7670258,9.0,3758.0,1.72925235944288
2019.0,Cuba,Americas,Latin America and the Caribbean,109880.0,11316697.0,109.024055876686,-0.101983052203958,103428000000.0,-0.164839982463832,52.618,3.56769926905674,12.2133271454538,1.551,112007422.09141746,8920.0,100932934768.903,10.6073790462931,24.5494450245581,3.54699869857453,77.611,11.5665003674053,53.39569959,5.2,-13686.0,-0.0085600686828805
2019.0,Trinidad and Tobago,Americas,Latin America and the Caribbean,5130.0,1519955.0,296.287524366472,1.00812051332522,23849557811.3959,0.110394084822389,39.109,0.821638934184901,61.7992425206664,1.643,183972765.263861,15620.0,23734486270.8055,89.80170203772647,37.8645855148248,-2.28962246510677,74.228,56.7138397573851,142.3545434,17.4,-19248.0,1.01375782565234
2019.0,Mali,Africa,Sub-Saharan Africa,1240190.0,20567424.0,16.8559191601308,3.12666991376831,17280250805.2245,4.75616080770808,153.834,37.3077973180908,25.705291132007,6.103,859091549.188966,820.0,16927568967.9284,37.9534116321585,20.9233089279515,1.93054207197829,59.664,50.977269365423,111.4650138,103.1,-44428.0,4.95145558813573
2019.0,Malta,Europe,Southern Europe,320.0,504062.0,1575.19375,3.93135631850717,15881258056.2009,7.0088254503099,11.384,0.466203863431279,166.788241969181,1.14,4363198051.87696,29370.0,14803157846.7967,149.163418001951,12.3335310436092,2.3409611541388,82.8585365853659,66.5312531451149,125.9617103,6.1,11247.0,4.00115780679613
2019.0,Malawi,Africa,Sub-Saharan Africa,118480.0,18867337.0,200.12024819686,2.68285756018368,11025371147.1876,5.44818133617287,121.406,23.0025403130689,44.9242596261914,4.072,55227831.6285934,550.0,10359861733.0429,62.87561550416878,18.5355261219392,7.72834797950487,64.119,34.384330009308,47.17691214,45.6,-2228.0,4.07245795804194
2019.0,Algeria,Africa,Northern Africa,2381741.0,42705368.0,17.9303156808402,1.83944488568624,171760290068.157,0.999999999741789,12.303,12.3367268511474,22.7144042064991,2.988,1381200049.59264,4050.0,172767418689.293,29.0951794435507,36.8438890196681,-0.472181732777585,76.474,46.5439363011537,106.3696091,23.5,-36386.0,2.60752982388108
2019.0,Marshall Islands,Oceania,Micronesia,180.0,44728.0,248.488888888889,-2.78025337337267,232092300.0,10.8392136821142,63.645,18.4519693242731,37.1875758049707,2.824,5164920.15605116,6750.0,301987115.334934,115.079388674247,14.4733797717546,-4.52961728218419,64.746,52.9961571323133,35.77177607,31.8,-1901.0,-2.28122892581952
2019.0,Costa Rica,Americas,Latin America and the Caribbean,51100.0,5084532.0,99.57955346651,0.865128346659953,64417670555.7821,2.41751181762513,44.882,4.20205116302465,34.3253215593308,1.632,2719031329.42268,12040.0,61231309947.0666,31.4352084583314,19.2336569312753,2.56679211746589,79.427,45.6970886187342,143.7687874,8.2,4154.0,1.7885179241658
2019.0,Tunisia,Africa,Northern Africa,163610.0,12049314.0,77.5573764160659,0.969662162376028,41905637658.6053,1.58801280656924,7.072,9.76625198321858,45.9503306922947,2.148,810173457.680643,3540.0,42654605689.412,56.3822840334945,23.2354084312101,7.13503699963687,75.993,87.0932935022535,122.5882901,16.9,-19609.0,1.41684656173721
